Frame	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
1	0	407.87616	-1949.79932	824.63269	442.2663	-1931.12488	935.51617	555.99078	-1871.69568	1295.52734
2	0.005	407.78729	-1949.72913	824.61938	442.15427	-1930.88074	935.60419	556.05054	-1871.30261	1295.50989
3	0.01	407.6405	-1949.46252	824.66913	442.08978	-1930.72473	935.64789	556.5025	-1871.63538	1295.4436
4	0.015	407.5578	-1949.62439	824.68597	442.00452	-1930.58594	935.69073	556.61261	-1870.91321	1295.50049
5	0.02	407.32709	-1949.06226	824.93164	441.93973	-1930.46997	935.71173	556.69147	-1870.5686	1295.49512
6	0.025	407.25024	-1948.94287	824.93604	441.92441	-1930.43469	935.71246	556.78815	-1870.19824	1295.36157
7	0.03	407.13568	-1948.67944	824.96906	441.85257	-1930.13	935.69849	556.92554	-1870.17859	1295.27893
8	0.035	407.01807	-1948.60132	824.93317	441.77856	-1929.82202	935.75757	556.9632	-1870.02686	1295.27051
9	0.04	406.95935	-1948.86035	824.87128	441.7706	-1929.86792	935.6734	557.11462	-1870.03577	1295.17188
10	0.045	406.8446	-1948.74487	824.79639	441.73218	-1929.93176	935.57739	557.17938	-1869.56995	1295.19067
11	0.05	406.82257	-1948.453	824.75848	441.62015	-1929.41833	935.51367	557.19452	-1869.09338	1294.87329
12	0.055	406.68356	-1948.34143	824.67084	441.5451	-1929.00708	935.48309	557.22754	-1868.93665	1294.69202
13	0.06	406.52026	-1947.74683	824.70453	441.49545	-1928.99353	935.42206	557.25995	-1868.87488	1294.54993
14	0.065	406.39197	-1947.59119	824.60309	441.38309	-1928.57361	935.32135	557.39435	-1868.72571	1294.38489
15	0.07	406.3317	-1947.54614	824.36548	441.33121	-1928.50513	935.17462	557.31622	-1868.18762	1294.20996
16	0.075	406.17392	-1947.28638	824.30273	441.26096	-1928.25049	935.12842	557.39026	-1868.0824	1294.03894
17	0.08	406.13663	-1947.07703	824.1767	441.11844	-1927.71606	935.01837	557.46918	-1868.09521	1293.92444
18	0.085	406.09723	-1947.40442	823.85822	440.97565	-1927.05847	934.95123	557.47211	-1868.14185	1293.68713
19	0.09	405.87045	-1946.48413	823.82947	441.02237	-1927.88403	934.49194	557.36786	-1867.45813	1293.48889
20	0.095	405.80295	-1947.05566	823.43909	440.85809	-1927.59363	934.25873	557.2243	-1867.03308	1293.1637
